pic_name,scene_type,object_name,relationship_with_user,color,orientation,location,brightness,shape,texture
scene_easy_1_1,bathroom,Spare Toilet Paper Roll C,right + down + far,white and grey,vertical,right of the toilet,medium,cylindrical,smooth + plastic and paper
scene_easy_1_1,bathroom,Toilet A,center + down + far,white,forward,against the wall,medium,rectangular,smooth + ceramic
scene_easy_1_1,bathroom,Toilet Paper Holder B,right + center + far,white,horizontal,right of the toilet,medium,cylindrical,smooth + paper
scene_easy_1_11,bathroom,Floor A,bottom + down + near,light brown,horizontal,bottom,medium,rectangular,smooth + wood
scene_easy_1_11,bathroom,Toilet A,middle + center + mid-range,white,facing to the front,center back,medium,rectangular,smooth + ceramic
scene_easy_1_11,bathroom,Toilet Brush Holder A,right + down + near,white and black,vertical,right,medium,cylindrical,smooth + metal and paper
scene_easy_1_11,bathroom,Toilet Paper Holder A,right + up + mid-range,gray and white,attached to wall,right back,medium,cylindrical,smooth + metal and paper
scene_easy_1_6,bathroom,Toilet A,center + center + mid-range,white,facing forward,center back,dark,rectangular,smooth + ceramic
scene_easy_1_6,bathroom,Toilet Brush Holder A,right + down + mid-range,white,standing,right bottom,dark,cylindrical,smooth + plastic
scene_easy_1_6,bathroom,Toilet Paper Holder A,right + center + mid-range,white,attached,right middle,dark,cylindrical,smooth + paper
scene_easy_2_1,dining room,Chair A,left + center + mid-range,dark brown,facing the table,front left,dark,rectangular with armrests,smooth + wood
scene_easy_2_1,dining room,Chair B,middle + center + mid-range,dark brown,facing the table,front middle,dark,rectangular with armrests,smooth + wood
scene_easy_2_1,dining room,Chair C,right + center + mid-range,dark brown,facing the table,front right,dark,rectangular with armrests,smooth + wood
scene_easy_2_1,dining room,Floor,center + down + far,light wood,horizontal,background,light,flat,smooth + wood
scene_easy_2_1,dining room,Table,center + center + mid-range,dark gray,horizontal,center,dark,rectangular,smooth + metal/wood
scene_easy_2_11,dining room,Chair A,left + down + mid-range,brown,facing table,left,dim,rectangular,smooth + wood
scene_easy_2_11,dining room,Chair B,center + down + mid-range,brown,facing table,center-left,dim,rectangular,smooth + wood
scene_easy_2_11,dining room,Chair C,center + down + mid-range,brown,facing table,center-right,dim,rectangular,smooth + wood
scene_easy_2_11,dining room,Chair D,right + down + mid-range,brown,facing table,right,dim,rectangular,smooth + wood
scene_easy_2_11,dining room,Table,center + center + mid-range,black,horizontal,center,dim,rectangular,smooth + wood and metal
scene_easy_2_6,Dining Room,Chair A,Left + Center + Mid-range,Dark,Vertical,Left,Dim,Rectangular,Smooth + Wood
scene_easy_2_6,Dining Room,Chair B,Right + Center + Mid-range,Dark,Vertical,Right,Dim,Rectangular,Smooth + Wood
scene_easy_2_6,Dining Room,Chair C,Center + Center + Mid-range,Dark,Vertical,Farther back center,Dim,Rectangular,Smooth + Wood
scene_easy_2_6,Dining Room,Chair D,Right + Center + Far,Dark,Vertical,Right,Dim,Rectangular,Smooth + Wood
