pic_name,scene_type,object_name,relationship_horizontal,relationship_vertical,relationship_distance,color,orientation,location,brightness,shape,texture,material
scene_easy_1_1,bathroom,Spare Toilet Paper Roll C,right,down,far,white and grey,vertical,right of the toilet,medium,cylindrical,smooth,plastic and paper
scene_easy_1_1,bathroom,Toilet A,center,down,far,white,forward,against the wall,medium,rectangular,smooth,ceramic
scene_easy_1_1,bathroom,Toilet Paper Holder B,right,center,far,white,horizontal,right of the toilet,medium,cylindrical,smooth,paper
scene_easy_2_1,dining room,Chair A,left,center,mid-range,dark brown,facing the table,front left,dark,rectangular with armrests,smooth,wood
scene_easy_2_1,dining room,Chair B,middle,center,mid-range,dark brown,facing the table,front middle,dark,rectangular with armrests,smooth,wood
scene_easy_2_1,dining room,Chair C,right,center,mid-range,dark brown,facing the table,front right,dark,rectangular with armrests,smooth,wood
scene_easy_2_1,dining room,Floor,center,down,far,light wood,horizontal,background,light,flat,smooth,wood
scene_easy_2_1,dining room,Table,center,center,mid-range,dark gray,horizontal,center,dark,rectangular,smooth,metal/wood
scene_easy_3_1,Kitchen,Cabinet,Bottom,Center,Mid-range,White,Facing forward,Under the countertop,Dark,Rectangular,Smooth,Wood
scene_easy_3_1,Kitchen,Espresso Machine,Left,Center,Mid-range,Red and Black,Facing forward,On the countertop,Medium,Rectangular,Smooth,Metal
scene_easy_3_1,Kitchen,Lamp,Left,Up,Mid-range,Brown and Cream,Facing forward,On top of the espresso machine,Bright,Cylindrical,Textured,Metal and Fabric
scene_easy_3_1,Kitchen,Microwave,Right,Center,Mid-range,White,Facing forward,On the countertop,Medium,Rectangular,Smooth,Metal and Plastic
scene_easy_3_1,Kitchen,Toaster,Middle,Center,Mid-range,White,Facing forward,On the countertop,Medium,Rectangular,Smooth,Plastic
scene_hard_1_1,dining room,Chair A,left,center,mid-range,black,facing the table,surrounding the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair B,middle,center,mid-range,black,facing the table,surrounding the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair C,right,center,mid-range,black,facing the table,surrounding the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair D,left,center,mid-range,black,facing the table,surrounding the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair E,middle,center,mid-range,black,facing the table,surrounding the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair F,right,center,mid-range,black,facing the table,surrounding the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Painting A,left,up,far,dark,vertical,walls,dim,rectangular,smooth,canvas
scene_hard_1_1,dining room,Painting B,middle,up,far,dark,vertical,walls,dim,oval,smooth,canvas
scene_hard_1_1,dining room,Painting C,right,up,far,dark,vertical,walls,dim,rectangular,smooth,canvas
scene_hard_1_1,dining room,Table,middle,center,mid-range,black,horizontal,center,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Wallpaper,middle,up,far,beige,vertical,walls,dim,flat,patterned,wallpaper
