pic_name,scene_type,object_name,relationship_horizontal,relationship_vertical,relationship_distance,color,orientation,location,brightness,shape,texture,material
scene_easy_1_1,Bathroom,Toilet A,middle,center,near,white,facing forward,middle-center,light,rectangular top with a rounded bowl,smooth,porcelain
scene_easy_1_1,Bathroom,Toilet Brush Holder A,right,down,near,white with grey base,upright,right-down,light,cylindrical,smooth,plastic and metal
scene_easy_1_1,Bathroom,Toilet Paper Holder A,right,center,near,white,facing left,right-center,light,cylindrical,smooth,paper and metal
scene_easy_1_1,Bathroom,Wall Baseboard A,middle,center,far,white,horizontal,middle-left to middle-right,light,rectangular,smooth,wood
scene_easy_1_11,Bathroom,Toilet,Center,Down,Near,White,Facing towards the camera,Center of the image,Bright,Rectangular with rounded edges,Smooth,Ceramic or porcelain
scene_easy_1_11,Bathroom,Toilet Brush with Holder,Right,Down,Near,White,Standing vertically,Right side of the image,Bright,Cylindrical,Smooth,Plastic or metal
scene_easy_1_11,Bathroom,Toilet Paper Roll with Holder,Right,Center,Near,White,Facing towards the camera,Right side of the image,Moderate,Cylindrical,Smooth,Plastic or metal
scene_easy_1_11,Bathroom,Window Frame,Left,Up,Mid-range,White,Embedded in the wall,Left side of the image,Moderate,Rectangular,Smooth,Wood
scene_easy_1_6,bathroom,Toilet A,middle,center,mid-range,white,facing towards user,center,dark,rectangular,smooth,ceramic
scene_easy_1_6,bathroom,Toilet Brush Holder A,right,center,mid-range,white,standing upright,right,dark,tall cylindrical,smooth,plastic
scene_easy_1_6,bathroom,Toilet Paper Holder A,right,upper,mid-range,white,attached to wall,right,dark,cylindrical,smooth,paper
scene_easy_2_1,dining room,Chair A,left,down,mid-range,dark brown,facing towards the table,center of the scene,dark,rectangular with a backrest,smooth,wood
scene_easy_2_1,dining room,Chair B,center,down,mid-range,dark brown,facing towards the table,center of the scene,dark,rectangular with a backrest,smooth,wood
scene_easy_2_1,dining room,Chair C,right,down,mid-range,dark brown,facing towards the table,center of the scene,dark,rectangular with a backrest,smooth,wood
scene_easy_2_1,dining room,Table,center,center,mid-range,dark grey,horizontal,center of the scene,dark,rectangular,smooth,metal or plastic
scene_easy_2_11,dining room,Chair A,left,down,mid-range,brown,facing table,left of the table,dim,rectangular,smooth,wood
scene_easy_2_11,dining room,Chair B,middle,down,mid-range,brown,facing table,center behind the table,dim,rectangular,smooth,wood
scene_easy_2_11,dining room,Chair C,right,down,mid-range,brown,facing table,right of the table,dim,rectangular,smooth,wood
scene_easy_2_11,dining room,Chair D,right,center,far,brown,facing table,far right of the table,dim,rectangular,smooth,wood
scene_easy_2_11,dining room,Table,middle,center,mid-range,black,horizontal,center of the scene,dim,rectangular,smooth,wood
scene_easy_2_6,dining room,Chair A,left,center,mid-range,dark,toward table,left,dark,rectangular,smooth,wood
scene_easy_2_6,dining room,Chair B,right,center,mid-range,dark,toward table,right,dark,rectangular,smooth,wood
scene_easy_2_6,dining room,Chair C,center,center,mid-range,dark,toward table,behind table,dark,rectangular,smooth,wood
scene_easy_2_6,dining room,Chair D,center,center,mid-range,dark,toward table,front,dark,rectangular,smooth,wood
scene_easy_2_6,dining room,Table,center,center,mid-range,dark,horizontal,center,dark,rectangular,smooth,wood
scene_easy_3_1,kitchen,Espresso Machine,left,up,near,red,front-facing,on the counter,dim,rectangular,metallic,metal
scene_easy_3_1,kitchen,Microwave,right,up,near,white,front-facing,on the counter,dim,rectangular,smooth,metal
scene_easy_3_1,kitchen,Toaster,middle,up,near,white,front-facing,on the counter,dim,rectangular,smooth,plastic
scene_easy_3_1,kitchen,Wall Lamp,left,up,mid-range,black and white,upright,attached to the wall,bright,curved,smooth,metal and fabric
scene_easy_3_11,kitchen,Cabinet,center,down,mid-range,white,front-facing,below counter,dim,rectangular,smooth,wood
scene_easy_3_11,kitchen,Espresso Machine,left,up,mid-range,red,front-facing,on counter,dim,rectangular,smooth,metal
scene_easy_3_11,kitchen,Lamp,center,up,mid-range,beige,upward,above espresso machine,bright,bulbous,smooth,fabric / metal
scene_easy_3_11,kitchen,Light Switch,right,up,mid-range,white,front-facing,on wall,dim,square,smooth,plastic
scene_easy_3_11,kitchen,Microwave,right,up,mid-range,gray,front-facing,on counter,dim,rectangular,smooth,metal
scene_easy_3_11,kitchen,Toaster,center,up,mid-range,white,front-facing,on counter,dim,rectangular,smooth,metal
scene_easy_3_6,kitchen,Cabinet,middle,down,mid-range,white,facing forward,below counter,dark,rectangular,smooth,wood
scene_easy_3_6,kitchen,Cake Cover,center,up,mid-range,white,facing up,on counter,dark,dome-shaped,smooth,ceramic
scene_easy_3_6,kitchen,Espresso Machine,left,up,mid-range,red,facing forward,on counter,dark,rectangular,smooth,metal
scene_easy_3_6,kitchen,Lamp A,middle,up,far,beige,facing down,above counter,bright,conical,smooth,glass
scene_easy_3_6,kitchen,Lamp B,middle,up,far,beige,facing down,above counter,bright,conical,smooth,glass
scene_easy_3_6,kitchen,Microwave,right,up,mid-range,white,facing forward,on counter,dark,rectangular,smooth,metal and plastic
scene_hard_1_1,dining room,Chair A,left,center,mid-range,dark brown,facing table,left side of the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair B,left,center,mid-range,dark brown,facing table,left side of the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair C,middle,center,far,dark brown,facing inward,far side of the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair D,middle,center,far,dark brown,facing inward,far side of the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair E,right,center,mid-range,dark brown,facing table,right side of the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Chair F,right,center,mid-range,dark brown,facing table,right side of the table,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Mirror,middle,up,far,dark frame,vertical,far wall at center,dark,oval,smooth,wood
scene_hard_1_1,dining room,Painting A,left,up,far,dark frame,vertical,left side wall,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Painting B,right,up,far,dark frame,vertical,right side wall,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Table,middle,center,mid-range,dark brown,horizontal,center of the room,dark,rectangular,smooth,wood
scene_hard_1_1,dining room,Wallpaper,middle,center,far,beige,vertical,wall in background,dark,flat,patterned,paper
scene_hard_1_11,dining room,Chair A,left,center,mid-range,brown,facing inward,surrounding the table,dim,rectangular,smooth,wood
scene_hard_1_11,dining room,Chair B,middle,center,mid-range,brown,facing inward,surrounding the table,dim,rectangular,smooth,wood
scene_hard_1_11,dining room,Chair C,right,center,mid-range,brown,facing inward,surrounding the table,dim,rectangular,smooth,wood
scene_hard_1_11,dining room,Table,middle,center,mid-range,brown,horizontal,center of the room,dim,rectangular,smooth,wood
scene_hard_1_11,dining room,Wall Art A,left,up,far,predominantly dark,vertical,on the wall,dark,rectangular,textured,canvas
scene_hard_1_11,dining room,Wall Art B,right,up,far,predominantly dark,vertical,on the wall,dark,rectangular,textured,canvas
scene_hard_1_11,dining room,Wall Clock,middle,up,far,dark,vertical,on the wall,dark,round,smooth,metal
scene_hard_1_6,dining room,Chair A,right,center,far,dark,towards the table,around the table,dark,rectangular,smooth,wood and fabric
scene_hard_1_6,dining room,Painting A,left,up,far,dark,facing front,against the wall,dark,rectangular,smooth,canvas and frame
scene_hard_1_6,dining room,Painting B,right,up,far,dark,facing front,against the wall,dark,rectangular,smooth,canvas and frame
scene_hard_1_6,dining room,Table,middle,center,far,dark,horizontal,in the corner,dark,rectangular,smooth,wood
scene_hard_2_1,kitchen,Cabinet A,middle,center,mid-range,brown,front-facing,center back of the room,dark,rectangular,smooth,wood
scene_hard_2_1,kitchen,Glass A,middle,up,mid-range,white,upright,on the shelves of Cabinet A,medium,cylindrical,smooth,glass
scene_hard_2_1,kitchen,Glass B,middle,up,mid-range,white,upright,on the shelves of Cabinet A,medium,cylindrical,smooth,glass
scene_hard_2_1,kitchen,Glass C,middle,up,mid-range,white,upright,on the shelves of Cabinet A,medium,cylindrical,smooth,glass
scene_hard_2_1,kitchen,Lamp A,right,up,mid-range,brass,wall-mounted,on the wall to the right of Cabinet A,medium,sconce,smooth,metal
scene_hard_2_1,kitchen,Plate A,middle,center,mid-range,white,stacked,on the bottom shelf of Cabinet A,medium,round,smooth,ceramic
scene_hard_2_1,kitchen,Trash Can A,left,down,mid-range,black,upright,left side of the room,dark,cylindrical,smooth,plastic
scene_hard_2_11,Kitchen,Cabinet A,Center,Up,Mid-range,Brown,Facing forward,Back of the scene,Dim,Rectangular,Smooth,Wood
scene_hard_2_11,Kitchen,Glass A,Left,Center,Mid-range,Transparent,Vertical,On the top shelf,Moderate,Cylindrical,Smooth,Glass
scene_hard_2_11,Kitchen,Glass B,Center,Center,Mid-range,Transparent,Vertical,On the top shelf,Moderate,Cylindrical,Smooth,Glass
scene_hard_2_11,Kitchen,Glass C,Left,Center,Mid-range,Transparent,Vertical,On the middle shelf,Moderate,Cylindrical,Smooth,Glass
scene_hard_2_11,Kitchen,Plate A,Left,Down,Mid-range,White,Horizontal,On the bottom shelf,Moderate,Circular,Smooth,Ceramic
scene_hard_2_11,Kitchen,Plate B,Center,Down,Mid-range,White,Horizontal,On the bottom shelf,Moderate,Circular,Smooth,Ceramic
scene_hard_2_11,Kitchen,Plate C,Center,Down,Mid-range,White,Horizontal,On the bottom shelf,Moderate,Circular,Smooth,Ceramic
scene_hard_2_11,Kitchen,Plate D,Center,Down,Mid-range,White,Horizontal,On the bottom shelf,Moderate,Circular,Smooth,Ceramic
scene_hard_2_11,Kitchen,Trash Bin A,Left,Down,Mid-range,Gray,Vertical,Left side of the scene,Dim,Cylindrical,Smooth,Metal
scene_hard_2_11,Kitchen,Wall Light A,Right,Up,Far,Brass,Facing forward,Right wall,Bright,Bulbous,Glossy,Metal/Glass
scene_hard_2_6,dining room,Books A,middle,up,far,white,upright,on shelf,dim,rectangular,smooth,paper
scene_hard_2_6,dining room,Books B,middle,up,far,white,upright,on shelf,dim,rectangular,smooth,paper
scene_hard_2_6,dining room,Plates A,middle,down,mid-range,beige,flat,on table,dim,round,smooth,ceramic
scene_hard_2_6,dining room,Plates B,middle,down,mid-range,beige,flat,on table,dim,round,smooth,ceramic
scene_hard_2_6,dining room,Wall Lamp A,right,up,far,white,upwards,on wall,bright,cone,smooth,metal
scene_hard_3_1,room with a bookshelf,Binder D,right,up,mid-range,blue,upright,top shelf of Bookshelf A,dim,rectangular,smooth,plastic
scene_hard_3_1,room with a bookshelf,Book G,left,down,mid-range,black,lying down,fourth shelf of Bookshelf A,dim,rectangular,smooth,paper
scene_hard_3_1,room with a bookshelf,Books B,left,up,mid-range,multicolored,stacked,top shelf of Bookshelf A,dim,rectangular,smooth,paper
scene_hard_3_1,room with a bookshelf,Bookshelf A,middle,center,mid-range,brown,upright,against the wall,dim,rectangular,smooth,wood
scene_hard_3_1,room with a bookshelf,Magazines F,right,center,mid-range,multicolored,stacked,second shelf of Bookshelf A,dim,rectangular,smooth,paper
scene_hard_3_1,room with a bookshelf,Pencil C,middle,up,mid-range,pink,angled,top shelf of Bookshelf A,dim,cylindrical,smooth,wood
scene_hard_3_1,room with a bookshelf,Phone E,left,center,mid-range,black and white,lying down,second shelf of Bookshelf A,dim,rectangular,smooth,metal and glass
scene_hard_3_11,room with bookshelf,Armchair G,left,down,far,green,facing right,left,dark,irregular,soft,fabric
scene_hard_3_11,room with bookshelf,Binder C,middle,center,mid-range,multicolored,on shelf,middle,dark,rectangular,smooth,paper
scene_hard_3_11,room with bookshelf,Books B,middle,up,mid-range,gray and blue,on shelf,middle,dark,rectangular,smooth,paper
scene_hard_3_11,room with bookshelf,Books D,middle,center,mid-range,white,on shelf,middle,dark,rectangular,smooth,paper
scene_hard_3_11,room with bookshelf,Books E,middle,down,mid-range,dark,stacked,middle,dark,rectangular,smooth,paper
scene_hard_3_11,room with bookshelf,Bookshelf A,middle,center,mid-range,brown,against wall,left,dark,rectangular,smooth,wood
scene_hard_3_11,room with bookshelf,Phone F,middle,center,mid-range,black and gray,lying flat,middle,dark,rectangular,smooth,plastic
scene_hard_3_6,Room with bookshelf,Binder C,Left,Center,Far,Black,Upright,On middle shelf of the bookshelf,Dark,Rectangular,Smooth,Plastic/Metal
